Model,F1,Recall,Precision,Accuracy
Tuned XGBoost CV,0.5815449412084907,0.47449051751848276,0.755036499713971,0.8612
Tuned Random Forest CV,0.580528563620339,0.4725168756027,0.756289051065107,0.8613333333333333
Tuned Random Forest Validated,0.5755102040816327,0.4607843137254901,0.7663043478260869,0.8613333333333333
Tuned Decision Tree,0.5606550690451619,0.4692553305475195,0.7016083898068596,0.8503999999999999
Scaled GNB Classifier,0.389,0.303,0.544,0.806
